combined_id,n_publications,n_data_generated,n_data_shared,n_data_linked,data_locations,n_code_generated,n_code_shared,code_locations,nserc_top_award_all,nserc_top_year_all,nserc_top_z_all,n_awards_nserc
vinay_prasad_universityofalberta,1,1,1,0,Supplementary Information,0,0,,46000,2019,0.9166338693019569,3
michael_bidochka_brockuniversity,2,2,2,1,"Online,Supplementary Information; Supplementary Information",2,1,Online,55000,2024,0.276353647198101,4
eric_arts_universityofwesternontario,2,2,2,0,Supplementary Information,1,1,Supplementary Information,38000,2016,0.010710732137657527,1
mohamed_hijri_universitedemontreal,1,1,1,0,Supplementary Information,0,0,,40000,2024,-0.5048675180461376,4
emma_despland_concordiauniversity,2,2,2,2,Online,0,0,,28000,2017,-0.2778117853914124,2
john_bertram_universityofcalgary,2,2,2,0,Supplementary Information,1,0,,33000,2019,-0.5024045841454515,3
maziar_divangahi_mcgilluniversity,1,1,1,0,Supplementary Information,0,0,,33000,2011,-0.6604725060833682,1
etienne_gagnon_universitedemontreal,3,3,3,1,"Online,Supplementary Information; Supplementary Information",1,1,Online,32000,2013,-0.65314321391943,1
camilla_speller_universityofbritishcolumbia,1,1,1,1,"Online,Supplementary Information",1,0,,52000,2019,0.8116373466763682,1
aurelie_labbe_hecmontreal,2,2,2,0,Supplementary Information,2,1,Supplementary Information,44000,2024,0.9089016116884407,2
quan_long_universityofcalgary,2,1,2,1,"Online,Supplementary Information; Supplementary Information",2,1,Online,47000,2024,-0.4235326852305431,2
shilpa_dogra_universityofontarioinstituteoftechnology,1,1,0,0,,0,0,,39000,2023,-0.6209346943325047,1
melanie_sekeres_universityofottawa,1,1,1,1,"Online,Supplementary Information",0,0,,33000,2021,-0.3579536376391629,1
ali_mcmanus_universityofbritishcolumbia,1,1,0,0,,0,0,,33000,2020,-0.42383942487807374,1
terry_galloway_universityofmanitoba,1,1,1,1,Online,0,0,,20000,2010,-0.9500070896185652,1
christopher_fernandezprada_universitedemontreal,2,2,2,1,Online; Supplementary Information,1,1,Supplementary Information,63000,2024,0.976239979626745,2
philippe_seguin_mcgilluniversity,1,1,0,0,,1,0,,39000,2022,-0.06191649304324388,3
craig_smibert_universityoftoronto,1,1,1,0,Supplementary Information,0,0,,36000,2018,-0.4776714308103635,2
steven_cumming_universitelaval,3,3,3,3,Online,2,2,Online,28000,2020,-0.47661363302942894,3
alice_mui_universityofbritishcolumbia,2,2,2,0,Supplementary Information,0,0,,31800,2014,-1.1304068169963426,1
paul_harrison_mcgilluniversity,3,3,3,1,"Online,Supplementary Information; Supplementary Information",3,0,,40000,2011,0.02498384840404703,2
natalie_phillips_concordiauniversity,2,2,2,2,"Online; Online,Supplementary Information",2,0,,47000,2018,0.6453215453013932,2
paul_szpak_trentuniversity,2,2,2,0,Supplementary Information,1,1,Supplementary Information,28000,2020,-0.9288051538654035,1
anita_layton_universityofwaterloo,6,6,4,3,"Online; Online,Supplementary Information; Supplementary Information",4,3,Online,83858,2019,2.971298876867431,1
sarah_childs_universityofcalgary,2,2,2,0,Supplementary Information,0,0,,47000,2014,0.3725602564455981,2
salimur_choudhury_queensuniversity,1,1,1,1,Online,1,1,Online,23000,2018,-0.847576543995449,1
harald_stover_mcmasteruniversity,1,1,1,1,"Online,Supplementary Information",1,1,Online,46000,2016,-0.05551800887019864,2
